Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population
New Brunswick,40.5,-74.44,391 George Street,,Kilmer Square,New Brunswick,NJ,38413,56792
Rutgers University-The Yard,40.5,-74.45,38 Colllege Ave.,,,New Brunswick,NJ,38413,56792
New Providence Village Center,40.71,-74.4,1260 Springfield Avenue,,,New Providence,NJ,129638,12716
"EWR - Newark Concourse C, Space 86",40.69,-74.17,"Terminal C, Space 86",,,Newark,NJ,34826,282803
"EWR - Newark Term C, Space B-50",40.69,-74.17,"Terminal C, Space B-50",,,Newark,NJ,34826,282803
Rutgers U/Newark Robeson Stdnt Ctr,40.74,-74.18,350 Martin Luther King Blvd,,,Newark,NJ,34826,282803
Shoppes on Broad,40.74,-74.17,Broad Street,,,Newark,NJ,34826,282803
"North Bergen, River Rd.",40.79,-74,7301 River Rd.,,,North Bergen,NJ,57269,63438
Target North Bergen Commons T-1865,40.8,-74.02,7101 Tonnelle Ave,,,North Bergen,NJ,57269,63438
"North Brunswick, NJ",40.46,-74.46,522 Shoppes Boulevard,,Shoppes at North Brunswick,North Brunswick,NJ,88723,42591
Target North Brunswick T-2853,40.44,-74.5,101 Grand Ave,,,North Brunswick,NJ,88723,42591
"Northvale, NJ",41.02,-73.95,271B Livingston St.,,Daibes Square at Northvale,Northvale,NJ,92650,4872
Nutley,40.82,-74.16,483 Franklin Avenue,,,Nutley,NJ,93691,28829
Route 35 - Oakhurst,40.26,-74.04,2100 Highway 35,,,Oakhurst,NJ,,
Oakland,41.03,-74.24,411 Rampo Valley Rd,,,Oakland,NJ,112944,13145
"Ocean City, NJ - Asbury Ave.",39.28,-74.58,1061 Asbury Ave,,,Ocean City,NJ,72715,11328
Acme - Old Bridge #2827,40.38,-74.31,3500 US-9,,,Old Bridge,NJ,88540,66880
Old Tappan,41.01,-73.98,216 Old Tappan Road,,,Old Tappan,NJ,141185,5999
Garden State Plaza - Lower level,40.92,-74.08,1 Garden State Plaza,Space #9145,,Paramus,NJ,105114,26919
Rt 17 South Paramus,40.93,-74.07,177 Route 17 South,,,Paramus,NJ,105114,26919
Rt. 4 - Paramus,40.92,-74.07,65 Route 4 West,,,Paramus,NJ,105114,26919
Rte 17N - Paramus,40.95,-74.07,370 Route 17 N,,The Container Store Project,Paramus,NJ,105114,26919
Target Paramus T-2381,40.92,-74.06,900 Bergen Town Center,,,Paramus,NJ,105114,26919
Park Ridge,41.04,-74.03,191 Kinderkamack Road,,,Park Ridge,NJ,106875,8905
Hopewell,40.3,-74.78,800 A Denow Road,,,Pennington,NJ,121667,2591
John Fenwick Travel Plaza,39.69,-75.45,"Milepost 5.4 NB, NJ Turnpike",,,Penns Grove,NJ,37188,4917
NJ Clara Barton TP,39.72,-75.46,NJTP Mile Marker 5.4 Southbound,,,Pennsgrove,NJ,,
Phillipsburg,40.69,-75.15,1198 US Highway 22,,,Phillipsburg,NJ,49274,14540
Stop & Shop - Phillipsburg #816,40.68,-75.15,1278 US Hwy 22,,,Phillipsburg,NJ,49274,14540
Target Phillipsburg T-1464,40.67,-75.14,1204 New Brunswick Ave,,,Phillipsburg,NJ,49274,14540
Piscataway,40.55,-74.44,1364 Centennial Way,,Centennial Plaza,Piscataway,NJ,89617,57695
Rutgers University Truck,40.52,-74.44,110 Ethel Rd West,Suite B,,Piscataway,NJ,89617,57695
Rutgers University-Plaza at Livings,40.52,-74.43,105 Joyce Kilmer Ave,#30,,Piscataway,NJ,89617,57695
Absecon Travel Plaza - NJ Turnpike,39.49,-74.59,Garden State Pkwy Mile Marker 41.3,,,Pomona,NJ,,
Pompton Lakes,41.01,-74.29,45 Wanaque Avenue,,Pompton Lakes Town Square,Pompton Lakes,NJ,92952,11205
Princeton,40.35,-74.66,100 Nassau Street,,,Princeton,NJ,,
Princeton Market Fair,40.31,-74.66,3535 Rt. 1 Ste. 426,,Princeton Market Fair,Princeton,NJ,,
Franklin Square - Ramsey,41.08,-74.14,561 North Franklin Turnpike,,Franklin Square,Ramsey,NJ,137768,15121
