,City, Median Income , Population ,Male Pop (%),White Pop (%),Black Pop (%),Asian Pop (%),Hispanic Pop (%),Employed Pop (%),Median Age,Age <18 (%)
Rutherford,1,"93,787","18,622",48.16,74.28,2.28,17.54,16.8,52.27,43.6,20.56
Middle,1,"62,249","18,623",48.91,83.17,11.83,1.34,5.99,45.51,46.1,19.26
Hillsdale,1,"124,844","10,520",48.96,86.7,1.63,8.43,8.9,50.65,45.6,25.04
West New York,1,"50,477","53,345",49.82,59.53,3.39,6.2,76.95,51.22,36.4,20.9
Clementon,1,"52,634","4,933",45.69,67.77,27.87,0,12.79,45.19,40.4,22.34
Haddonfield,1,"138,920","11,428",49.74,94.25,1.1,2.07,3.81,47.79,43.6,28.08
Eatontown,1,"66,470","12,258",47.75,73.87,10.72,8.34,13.57,52.91,46.2,19
Old Tappan,1,"141,185","5,999",48.84,73.78,0.72,22.15,4.58,46.72,49.1,23.35
New Providence,1,"129,638","12,716",48.76,82.42,0.94,12.86,7.77,47.42,41.8,27.37
Lakewood,1,"45,321","99,467",49.64,91.16,3.28,1.01,16,29.08,19.3,46.97
Nutley,1,"93,691","28,829",47.28,79.8,2.98,11.55,15.74,53.2,42.9,20.59
Franklin Lakes,1,"155,458","10,953",49.69,85.34,1.78,8.49,7.62,46.32,48.9,23.14
South Orange Village,1,"121,637","16,503",48.32,63.52,26.6,5.04,6.56,48.21,34.2,20.44
Somers Point,1,"52,397","10,644",45.02,77.39,13.8,5.67,10.7,50.94,45.8,21.35
Westwood,1,"95,685","11,246",46.51,78.53,6.89,8.8,16.57,52.86,43.4,22.88
Shrewsbury,1,"122,321","4,051",44.31,96.94,0.59,1.58,1.78,45.79,46.4,25.72
Clark,1,"100,192","15,607",48.15,94.25,1.34,2.76,13.65,54.24,43.7,20.13
Bayonne,1,"56,701","66,719",49.61,65.7,11.11,8.97,29.6,46.7,43.2,22.26
Spring Lake,1,"88,679","2,980",51.51,99.4,0,0.6,0,42.48,55.6,20.5
Oakland,1,"112,944","13,145",49.17,91,2.25,5.58,6.97,54.21,42.9,24.75
Warren,1,"154,647","15,998",48.73,78.87,0.79,18.11,5.67,48.57,47.4,22.77
Camden,1,"26,105","75,550",47.92,21.22,45.4,3.18,48.48,34.89,32,31.42
Kenilworth,1,"108,281","8,235",53.01,78.12,1.79,6.72,27.33,52.4,46.6,21.55
Belmar,1,"74,942","5,719",55.01,93.09,2.41,0.75,14.62,56.65,47.7,13.34
Hillsborough,1,"119,542","39,712",47.8,73.86,5.47,16.87,7.75,54.66,44,23.57
Ocean City,1,"72,715","11,328",46.23,90.8,2.61,1.83,8.14,43.79,56,19.14
Somerville,1,"72,731","12,234",50.23,71.08,9.6,11.24,21.78,53.83,39.3,19.57
Millville,1,"49,950","28,235",48.87,74.18,19.02,1.61,17.22,42.67,43.2,24.97
Pompton Lakes,1,"92,952","11,205",49.64,87.68,1.32,5.55,16.94,58.47,42.1,19.34
Milltown,1,"99,704","7,069",48.18,88.6,5.26,3.92,12.93,49.44,43.5,23.03
Hasbrouck Heights,1,"87,800","12,205",47.67,79.69,2.94,12.89,14.6,52.08,43.6,20.14
Voorhees,1,"85,199","29,386",48.59,66.72,10.33,19.2,4.39,45.72,48.1,20.26
Deptford,1,"67,983","30,556",47.29,74.04,13.75,5.92,7.43,51.52,44.9,20.13
Boonton,1,"91,055","8,390",51.47,81.14,3.02,8.47,14.33,60.38,39.3,20.62
Madison,1,"127,948","16,080",46.97,84.98,4.12,6.73,9.64,48.33,41.8,24.57
